Name,file size (bytes),#lospn ops
nltcs_100_200_4_3_3_3_1.0_True_spn_0,40144,3829
msnbc_100_200_4_3_3_3_1.0_True_spn_0,40816,3773
nltcs_100_200_2_4_5_5_1.0_True_spn_0,45184,4104
nltcs_100_200_3_3_5_3_1.0_True_spn_0,45200,3928
msnbc_100_200_3_3_5_3_1.0_True_spn_0,47408,3989
msnbc_100_200_2_4_5_5_1.0_True_spn_0,47512,4180
MBSB0,47728,1856
MAKR0,49128,1913
MMGK0,49128,1913
MEAL0,49128,1913
MWAD0,50480,1962
FCJF0,50528,1962
MJFC0,50528,1966
MSAT0,50528,1967
FREW0,51192,1994
MTWH1,51920,2021
MSDB0,51920,2022
MTAS0,51920,2019
MARC0,51920,2020
MBEF0,51920,2018
MDSS0,51920,2021
MKCH0,53312,2071
FTAJ0,53312,2073
MDAB0,53312,2073
MGES0,53312,2073
FDML0,53312,2070
MPSW0,53312,2075
MMLM0,53360,2075
MDLS0,54712,2124
MSJS1,54712,2128
MFER0,54712,2125
MRVG0,54712,2125
FPAS0,54712,2126
MMEA0,54712,2127
MKAJ0,54712,2126
MGAF0,54712,2124
MMDS0,54712,2127
MJFH0,54712,2127
MSAH1,55992,2175
MMDM2,56104,2178
MKLR0,56104,2178
MSLB0,56104,2179
FMCM0,56104,2181
MNET0,56104,2181
MTRC0,56104,2179
FREH0,56104,2181
MRLD0,56104,2177
FCEG0,56104,2181
MPRT0,56104,2181
FGMD0,56104,2183
MCRC0,57504,2232
MRJO0,57504,2237
FJSJ0,57504,2235
MWCH0,57504,2235
MTLC0,57504,2231
MRJM4,57504,2235
MDBB1,57504,2233
MEJL0,57504,2231
MCDD0,57504,2231
MRWS0,57504,2237
MDLM0,57504,2232
MNLS0,57504,2231
MJMD0,57504,2231
MKJO0,57504,2230
FSDJ0,57504,2234
FLHD0,57504,2233
MJDA0,57504,2234
MDSS1,57504,2236
MMEB0,57504,2233
MMWS1,57504,2236
MVRW0,57504,2233
MJLB0,57504,2234
MDAC2,57544,2238
MEDR0,58752,2284
MDTB0,58800,2286
MMAM0,58896,2289
MWSB0,58896,2286
MRPC0,58896,2290
MRBC0,58896,2290
MPAR0,58896,2287
MPEB0,58896,2288
FSDC0,58896,2291
MKLT0,58896,2288
MCDC0,58896,2289
MDLC2,58896,2289
MRFK0,58896,2283
MEWM0,58896,2287
MSES0,58896,2286
MRRK0,58896,2290
MCLM0,58896,2292
MAFM0,58896,2289
FSJK1,58896,2285
FPKT0,58896,2289
MJPG0,58896,2286
MRMS0,58896,2286
MRMH0,58896,2285
MDPS0,58896,2286
MRJS0,58896,2287
FCAG0,59856,2323
MBPM0,60008,2334
MWAR0,60144,2335
MJTH0,60240,2338
FTMG0,60240,2338
FGCS0,60296,2338
MDMT0,60296,2339
FDXW0,60296,2338
MTPF0,60296,2342
MLNS0,60296,2344
MDEF0,60296,2341
MPGH0,60296,2342
MDWA0,60296,2341
FCMH0,60296,2339
MRDD0,60296,2340
MDHS0,60296,2342
FRJB0,60296,2338
MRPC1,60296,2341
MJRP0,60296,2345
MBJV0,60296,2344
MPGR0,60296,2340
MMDB0,60296,2344
MJMA0,60296,2336
MDAW1,60296,2344
MRCW0,60296,2343
MMWS0,60296,2346
MDWD0,60296,2342
MCPM0,60296,2343
MRDS0,60296,2341
MABC0,60296,2340
MSAT1,60296,2342
MJDM1,61544,2388
MCTT0,61592,2388
MJAR0,61640,2395
MSRG0,61640,2395
MMPM0,61688,2393
MBOM0,61688,2399
MESJ0,61688,2396
MSTK0,61688,2393
MRLR0,61688,2397
FJXP0,61688,2394
MJBR0,61688,2398
MKLS1,61688,2397
MTJU0,61688,2396
MHJB0,61688,2395
MKLN0,61688,2391
FLOD0,61688,2391
MGAW0,61688,2394
MTPP0,61688,2391
FLAC0,61688,2395
FLMA0,61688,2397
FNTB0,61688,2392
MTMR0,61688,2393
MRMB0,61688,2394
MDPK0,61688,2396
FNKL0,61688,2391
FDFB0,61688,2396
MBML0,61688,2392
MRLJ0,61688,2395
MHPG0,61688,2395
MDCD0,61688,2392
FCRZ0,61688,2397
FDHC0,61688,2396
MTLS0,61688,2392
MRAV0,61688,2395
MREW1,61688,2393
MJDC0,61688,2395
MCEF0,61688,2398
FDMS0,61688,2395
FCAJ0,61688,2397
MRLJ1,61688,2398
MRCS0,61736,2395
FVMH0,61840,2395
FLBW0,62552,2426
FSKL0,62648,2430
FCKE0,62936,2443
MHRM0,62936,2440
MBWM0,62992,2443
MRTK0,63032,2445
MABW0,63032,2443
MRAM0,63032,2446
MJXA0,63088,2449
MCTW0,63088,2450
MDDC0,63088,2443
FMLD0,63088,2449
MJLG1,63088,2444
MKJL0,63088,2447
MGAG0,63088,2449
MMAB0,63088,2446
FPLS0,63088,2446
MJMM0,63088,2448
FSKC0,63088,2446
MRHL0,63088,2450
MDRM0,63088,2447
MTPG0,63088,2449
FVFB0,63088,2450
MCTH0,63088,2447
MBDG0,63088,2445
MWVW0,63088,2450
MWEW0,63088,2445
MEJS0,63088,2446
MCTM0,63088,2444
FTLG0,63088,2449
MJMP0,63088,2445
MJEB0,63088,2450
MCRE0,63088,2448
FMAH1,63088,2446
FCJS0,63088,2448
MBMA0,63088,2449
MHBS0,63088,2445
MAJC0,63088,2448
FMAF0,63088,2448
MWGR0,63088,2446
MERS0,63088,2452
MFWK0,63088,2448
FJWB1,63088,2448
MPGR1,63088,2451
FCFT0,63088,2448
MCXM0,63088,2446
MGRL0,63088,2451
MFXS0,63088,2451
MTMT0,63088,2447
MJRF0,63088,2447
MDLC1,64432,2495
MTAS1,64480,2503
MLBC0,64480,2503
MDWM0,64480,2502
MJRK0,64480,2500
MAEO0,64480,2498
MJDH0,64480,2502
MPAM0,64480,2499
MMXS0,64480,2504
MMDM0,64480,2499
FDJH0,64480,2499
MTJM0,64480,2504
MTRR0,64480,2498
FLNH0,64480,2504
FPJF0,64480,2501
MRMG0,64480,2499
MESD0,64480,2499
MMGC0,64480,2503
MKAH0,64480,2499
MGLB0,64480,2501
MSJK0,64480,2497
MJPM1,64480,2503
MMGG0,64480,2500
MDAS0,64480,2499
FLET0,64480,2496
FJLG0,64480,2500
MJRH1,64480,2502
MTAT0,64480,2500
MTHC0,64480,2500
MRLK0,64480,2502
MMSM0,64480,2500
MBAR0,64480,2501
FTBW0,64480,2502
MHMG0,64480,2502
MWRP0,64480,2500
MJDG0,64480,2504
MBCG0,64528,2505
FDAW0,65312,2537
FKSR0,65400,2540
FSLB1,65448,2539
FJRE0,65448,2540
FCLT0,65504,2546
MAEB0,65792,2552
MRDM0,65792,2550
FSRH0,65792,2549
MTWH0,65792,2550
MJAI0,65792,2553
MKRG0,65832,2552
MROA0,65888,2553
MMWH0,65888,2555
MFRM0,65888,2551
FJKL0,65888,2557
MBWP0,65888,2558
MHXL0,65888,2553
FSAK0,65888,2552
MRAB1,65888,2556
